#snow#
5, 10
tree,(,64x64
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand7.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand2.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Cactus4.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Cactus3.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Cactus2.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Cactus1.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Tree16_1.asset,0,1000
)
decors,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Stone1.asset,0,1000
)
#plaine#
5, 6
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_26.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_20.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_59.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_50.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_21.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_11.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_65.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_20.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_13.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_67.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
grass 1,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/NatureTileMap_0.asset,0,1000
grass 2,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/NatureTileMap_3.asset,0,1000
plant 1,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/NatureTileMap_5.asset,0,1000
mucherom,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/NatureTileMap_8.asset,0,1000
)
decors,(,32x32
pot 1,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_23.asset,0,1000
pot 2,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_22.asset,0,1000
pot 3,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_24.asset,0,1000
chest,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_314.asset,0,1000
saut,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Others/Torch1.asset,0,1000
)
#foret#
10, 8
tree,(,64x64
,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/64_17.asset,0,1000
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_51.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_42.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_33.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_54.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_30.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_60.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_48.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_0.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_41.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_47.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_2.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/TX Village Props_252.asset,0,5
,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/TX Village Props_253.asset,0,5
,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/TX Village Props_254.asset,0,5
,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/TX Village Props_238.asset,0,5
,Assets/Game/ProceduralGeneration/Tiles/NatureTileMap/TX Village Props_239.asset,0,5
)
decors,(,32x32
tauneau,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_21.asset,0,1000
tombe,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_92.asset,0,1000
panneau,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_26.asset,0,1000
bush,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_101.asset,0,1000
sac 1,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_124.asset,0,1000
sac 2,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_124.asset,0,1000
roue,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_7.asset,0,1000
citrouille,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_68.asset,0,1000
)
structures,(,32x32
,,0,0
)
#plaine 1#
8, 10
tree,(,64x64
,,0,0
)
terrain,(,32x32
tile,Assets/sprites/tiles/forest/TileGround18.asset,0,1000
topTile,Assets/sprites/tiles/forest/TileGround2.asset,0,1000
bottomDoubleEdgeTile,Assets/sprites/tiles/forest/TileGround24.asset,0,1000
doubleEdgeTile,Assets/sprites/tiles/forest/TileGround29.asset,0,1000
topDoubleEdgeTile,Assets/sprites/tiles/forest/TileGround15.asset,0,1000
bottomLeftEdgeTile,Assets/sprites/tiles/forest/TileGround24.asset,0,1000
leftEdgeTile,Assets/sprites/tiles/forest/TileGround17.asset,0,1000
topLeftEdgeTile,Assets/sprites/tiles/forest/TileGround1.asset,0,1000
bottomRightEdgeTile,Assets/sprites/tiles/forest/TileGround23.asset,0,1000
rightEdgeTile,Assets/sprites/tiles/forest/TileGround19.asset,0,1000
topRightEdgeTile,Assets/sprites/tiles/forest/TileGround3.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
,Assets/sprites/tiles/forest/TilePlant5.asset,0,5
,Assets/sprites/tiles/forest/TilePlant6.asset,0,5
,Assets/sprites/tiles/forest/TilePlant7.asset,0,5
,Assets/sprites/tiles/forest/TilePlant8.asset,0,5
)
decors,(,32x32
fleur,Assets/sprites/tiles/forest/TilePlant10.asset,0,1000
fleur 1,Assets/sprites/tiles/forest/TilePlant9.asset,0,1000
)
structures,(,32x32
,,0,0
)
#medieval cave#
8, 3
tree,(,64x64
,,0,0
)
terrain,(,32x32
tile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_109.asset,0,1000
topTile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_116.asset,0,1000
bottomDoubleEdgeTile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_109.asset,0,1000
doubleEdgeTile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_109.asset,0,1000
topDoubleEdgeTile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_76.asset,0,1000
bottomLeftEdgeTile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_90.asset,0,1000
leftEdgeTile,Assets/sprites/tiles/medieval_cave/Medieval_tiles_free2_74.asset,0,1000
topLeftEdgeTile,Assets/sprites/tiles/forest/TileGround1.asset,0,1000
bottomRightEdgeTile,Assets/sprites/tiles/forest/TileGround23.asset,0,1000
rightEdgeTile,Assets/sprites/tiles/forest/TileGround19.asset,0,1000
topRightEdgeTile,Assets/sprites/tiles/forest/TileGround3.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
,Assets/sprites/tiles/forest/TilePlant5.asset,0,5
,Assets/sprites/tiles/forest/TilePlant6.asset,0,5
,Assets/sprites/tiles/forest/TilePlant7.asset,0,5
,Assets/sprites/tiles/forest/TilePlant8.asset,0,5
)
decors,(,32x32
fleur,Assets/sprites/tiles/forest/TilePlant10.asset,0,1000
fleur 1,Assets/sprites/tiles/forest/TilePlant9.asset,0,1000
)
structures,(,32x32
,,0,0
)
